Minuto,0,1,mean [kWh],std [kWh]
149,"546,0","474,0","510,0","36,0"
150,"543,0","465,0","504,0","39,0"
151,"531,0","465,0","498,0","33,0"
152,"528,0","450,0","489,0","39,0"
153,"519,0","453,0","486,0","33,0"
154,"510,0","447,0","478,5","31,5"
155,"504,0","447,0","475,5","28,5"
156,"498,0","444,0","471,0","27,0"
157,"507,0","441,0","474,0","33,0"
158,"501,0","432,0","466,5","34,5"
159,"501,0","426,0","463,5","37,5"
160,"501,0","411,0","456,0","45,0"
161,"486,0","408,0","447,0","39,0"
162,"489,0","402,0","445,5","43,5"
163,"477,0","390,0","433,5","43,5"
164,"465,0","384,0","424,5","40,5"
165,"459,0","375,0","417,0","42,0"
166,"450,0","378,0","414,0","36,0"
167,"444,0","378,0","411,0","33,0"
168,"441,0","375,0","408,0","33,0"
169,"441,0","372,0","406,5","34,5"
170,"438,0","369,0","403,5","34,5"
171,"432,0","360,0","396,0","36,0"
172,"432,0","351,0","391,5","40,5"
173,"546,0","351,0","448,5","97,5"
174,"537,0","348,0","442,5","94,5"
175,"534,0","342,0","438,0","96,0"
176,"528,0","339,0","433,5","94,5"
177,"405,0","333,0","369,0","36,0"
178,"411,0","327,0","369,0","42,0"
179,"399,0","330,0","364,5","34,5"
180,"399,0","321,0","360,0","39,0"
181,"402,0","312,0","357,0","45,0"
182,"393,0","306,0","349,5","43,5"
183,"381,0","309,0","345,0","36,0"
184,"375,0","288,0","331,5","43,5"
185,"375,0","288,0","331,5","43,5"
186,"372,0","279,0","325,5","46,5"
187,"372,0","273,0","322,5","49,5"
188,"375,0","387,0","381,0","6,0"
189,"372,0","381,0","376,5","4,5"
190,"369,0","369,0","369,0","0,0"
191,"357,0","375,0","366,0","9,0"
192,"348,0","255,0","301,5","46,5"
193,"342,0","255,0","298,5","43,5"
194,"336,0","246,0","291,0","45,0"
195,"336,0","246,0","291,0","45,0"
196,"339,0","240,0","289,5","49,5"
197,"336,0","360,0","348,0","12,0"
198,"330,0","360,0","345,0","15,0"
199,"318,0","357,0","337,5","19,5"
200,"309,0","357,0","333,0","24,0"
201,"303,0","231,0","267,0","36,0"
202,"297,0","228,0","262,5","34,5"
203,"297,0","222,0","259,5","37,5"
204,"294,0","222,0","258,0","36,0"
205,"291,0","219,0","255,0","36,0"
206,"408,0","219,0","313,5","94,5"
207,"405,0","216,0","310,5","94,5"
208,"405,0","213,0","309,0","96,0"
209,"276,0","210,0","243,0","33,0"
210,"270,0","210,0","240,0","30,0"
211,"255,0","207,0","231,0","24,0"
212,"375,0","207,0","291,0","84,0"
213,"372,0","204,0","288,0","84,0"
214,"354,0","204,0","279,0","75,0"
215,"351,0","201,0","276,0","75,0"
216,"228,0","198,0","213,0","15,0"
217,"228,0","189,0","208,5","19,5"
218,"228,0","189,0","208,5","19,5"
219,"345,0","189,0","267,0","78,0"
