,t_fcs_ida,E_fcs_ida,delta_rec_ida,carga_ida,t_fcs_vuelta,E_fcs_vuelta,delta_rec_vuelta,carga_vuelta,t_llegada_casa,E_casa,delta_home,Pot_dom
73,0.0,0.0,0.0,0,1013.0,21.17041768362979,0.0,120,1033.0,0,0,0
74,0.0,0.0,0.0,0,1152.0,20.63214947873452,10.0,120,1171.0,0,0,0
75,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1339.0,0,0,0
76,0.0,0.0,0.0,0,1054.0,16.010964851571597,8.0,120,1074.0,0,0,0
77,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1063.0,0,0,0
78,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1268.0,0,0,0
79,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1428.0,0,0,0
80,0.0,0.0,0.0,0,0.0,0.0,0.0,0,934.0,0,0,0
81,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1083.0,0,0,0
82,0.0,0.0,0.0,0,1171.0,18.155045946220877,9.0,120,1202.0,0,0,0
83,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1279.0,0,0,0
84,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1068.0,0,0,0
85,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1124.0,0,0,0
86,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1026.0,0,0,0
87,0.0,0.0,0.0,0,1173.0,17.533360021322896,9.0,120,1216.0,0,0,0
88,0.0,0.0,0.0,0,0.0,0.0,0.0,0,963.0,0,0,0
89,0.0,0.0,0.0,0,1529.0,22.605358911859284,11.0,120,1558.0,0,0,0
90,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1128.0,0,0,0
91,0.0,0.0,0.0,0,0.0,0.0,0.0,0,666.0,0,0,0
92,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1123.0,0,0,0
93,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1115.0,0,0,0
94,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1430.0,0,0,0
95,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1083.0,0,0,0
96,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1142.0,0,0,0
97,0.0,0.0,0.0,0,1013.0,20.09004996549194,10.0,120,1052.0,0,0,0
98,0.0,0.0,0.0,0,1471.0,17.66108201594139,9.0,120,1497.0,0,0,0
99,0.0,0.0,0.0,0,0.0,0.0,0.0,0,935.0,0,0,0
100,0.0,0.0,0.0,0,0.0,0.0,0.0,0,848.0,0,0,0
101,0.0,0.0,0.0,0,1404.0,17.018037088499696,9.0,120,1443.0,0,0,0
102,0.0,0.0,0.0,0,1156.0,22.229035424114358,11.0,120,1184.0,0,0,0
103,0.0,0.0,0.0,0,1367.0,18.812500407373726,0.0,120,1394.0,0,0,0
104,0.0,0.0,0.0,0,658.0,18.72715649310831,9.0,120,680.0,0,0,0
105,0.0,0.0,0.0,0,1295.0,21.030104482959356,11.0,120,1325.0,0,0,0
106,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1458.0,0,0,0
107,0.0,0.0,0.0,0,0.0,0.0,0.0,0,844.0,0,0,0
108,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1125.0,0,0,0
109,0.0,0.0,0.0,0,838.0,16.561672661941586,8.0,120,869.0,0,0,0
110,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1259.0,0,0,0
111,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1394.0,0,0,0
112,0.0,0.0,0.0,0,0.0,0.0,0.0,0,798.0,0,0,0
113,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1365.0,0,0,0
114,0.0,0.0,0.0,0,0.0,0.0,0.0,0,971.0,0,0,0
115,0.0,0.0,0.0,0,1240.0,15.414225107907127,0.0,120,1264.0,0,0,0
116,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1009.0,0,0,0
117,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1049.0,0,0,0
118,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1470.0,0,0,0
119,0.0,0.0,0.0,0,1345.0,20.822299443985983,10.0,120,1363.0,0,0,0
120,0.0,0.0,0.0,0,788.0,19.841066031098656,10.0,120,823.0,0,0,0
121,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1062.0,0,0,0
122,0.0,0.0,0.0,0,0.0,0.0,0.0,0,952.0,0,0,0
123,0.0,0.0,0.0,0,1095.0,17.540302637844437,0.0,120,1121.0,0,0,0
124,0.0,0.0,0.0,0,965.0,21.963649669968916,11.0,120,981.0,0,0,0
125,0.0,0.0,0.0,0,0.0,0.0,0.0,0,783.0,0,0,0
126,0.0,0.0,0.0,0,1343.0,17.54295102975522,9.0,120,1360.0,0,0,0
127,0.0,0.0,0.0,0,932.0,19.619168504738596,10.0,120,954.0,0,0,0
128,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1522.0,0,0,0
129,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1125.0,0,0,0
130,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1122.0,0,0,0
131,0.0,0.0,0.0,0,1464.0,22.941442827242454,11.0,120,1508.0,0,0,0
132,0.0,0.0,0.0,0,985.0,19.87163008127428,10.0,120,1052.0,0,0,0
133,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1226.0,0,0,0
134,0.0,0.0,0.0,0,0.0,0.0,0.0,0,879.0,0,0,0
135,0.0,0.0,0.0,0,1288.0,16.858634724434392,8.0,120,1322.0,0,0,0
136,871.0,20.907329191911966,0.0,120,0.0,0.0,0.0,0,1235.0,0,0,0
137,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1170.0,0,0,0
138,0.0,0.0,0.0,0,1271.0,17.981621619142036,0.0,120,1297.0,0,0,0
139,0.0,0.0,0.0,0,0.0,0.0,0.0,0,936.0,0,0,0
140,0.0,0.0,0.0,0,0.0,0.0,0.0,0,882.0,0,0,0
141,1071.0,20.313735181505653,0.0,120,0.0,0.0,0.0,0,1435.0,0,0,0
142,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1564.0,0,0,0
143,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1248.0,0,0,0
144,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1055.0,0,0,0
145,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1038.0,0,0,0
146,0.0,0.0,0.0,0,962.0,19.160502243864173,10.0,120,971.0,0,0,0
147,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1167.0,0,0,0
148,0.0,0.0,0.0,0,692.0,17.144959864737935,9.0,120,719.0,0,0,0
149,0.0,0.0,0.0,0,0.0,0.0,0.0,0,749.0,0,0,0
150,0.0,0.0,0.0,0,1251.0,18.71851401794064,9.0,120,1285.0,0,0,0
151,659.0,19.45737968009243,0.0,120,0.0,0.0,0.0,0,1046.0,0,0,0
152,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1069.0,0,0,0
153,0.0,0.0,0.0,0,0.0,0.0,0.0,0,942.0,0,0,0
154,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1164.0,0,0,0
155,0.0,0.0,0.0,0,0.0,0.0,0.0,0,918.0,0,0,0
156,0.0,0.0,0.0,0,0.0,0.0,0.0,0,843.0,0,0,0
157,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1544.0,0,0,0
158,1000.0,17.586357084003176,0.0,120,0.0,0.0,0.0,0,1330.0,0,0,0
159,0.0,0.0,0.0,0,0.0,0.0,0.0,0,924.0,0,0,0
160,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1096.0,0,0,0
161,0.0,0.0,0.0,0,1047.0,18.792853438907212,9.0,120,1083.0,0,0,0
162,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1031.0,0,0,0
163,0.0,0.0,0.0,0,0.0,0.0,0.0,0,768.0,0,0,0
164,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1494.0,0,0,0
165,0.0,0.0,0.0,0,0.0,0.0,0.0,0,949.0,0,0,0
166,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1221.0,0,0,0
167,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1445.0,0,0,0
168,0.0,0.0,0.0,0,1078.0,20.577604659244145,10.0,120,1108.0,0,0,0
169,0.0,0.0,0.0,0,0.0,0.0,0.0,0,970.0,0,0,0
170,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1240.0,0,0,0
171,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1093.0,0,0,0
172,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1106.0,0,0,0
173,0.0,0.0,0.0,0,1180.0,20.76981944640967,10.0,120,1209.0,0,0,0
174,0.0,0.0,0.0,0,1122.0,19.98435338227178,10.0,120,1145.0,0,0,0
175,0.0,0.0,0.0,0,1323.0,20.20613781167771,10.0,120,1343.0,0,0,0
176,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1072.0,0,0,0
177,0.0,0.0,0.0,0,0.0,0.0,0.0,0,965.0,0,0,0
178,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1218.0,0,0,0
179,0.0,0.0,0.0,0,1019.0,17.37843420111163,9.0,120,1046.0,0,0,0
180,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1055.0,0,0,0
181,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1070.0,0,0,0
182,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1247.0,0,0,0
183,0.0,0.0,0.0,0,1071.0,18.842793623421738,9.0,120,1109.0,0,0,0
184,0.0,0.0,0.0,0,0.0,0.0,0.0,0,925.0,0,0,0
185,0.0,0.0,0.0,0,1426.0,20.72430137756694,10.0,120,1455.0,0,0,0
186,0.0,0.0,0.0,0,0.0,0.0,0.0,0,614.0,0,0,0
187,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1069.0,0,0,0
188,0.0,0.0,0.0,0,940.0,21.27771083158442,11.0,120,960.0,0,0,0
189,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1044.0,0,0,0
190,659.0,18.08498023975305,0.0,120,0.0,0.0,0.0,0,892.0,0,0,0
191,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1339.0,0,0,0
192,0.0,0.0,0.0,0,794.0,18.508696161198586,0.0,120,819.0,0,0,0
193,0.0,0.0,0.0,0,1192.0,18.378517285703875,9.0,120,1230.0,0,0,0
194,0.0,0.0,0.0,0,0.0,0.0,0.0,0,920.0,0,0,0
195,0.0,0.0,0.0,0,1038.0,22.59522609721987,11.0,120,1082.0,0,0,0
196,0.0,0.0,0.0,0,0.0,0.0,0.0,0,899.0,0,0,0
197,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1124.0,0,0,0
198,0.0,0.0,0.0,0,0.0,0.0,0.0,0,968.0,0,0,0
199,0.0,0.0,0.0,0,0.0,0.0,0.0,0,571.0,0,0,0
200,0.0,0.0,0.0,0,0.0,0.0,0.0,0,729.0,0,0,0
201,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1046.0,0,0,0
202,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1205.0,0,0,0
203,0.0,0.0,0.0,0,815.0,21.087447562638687,11.0,120,839.0,0,0,0
204,0.0,0.0,0.0,0,1050.0,16.894240507220882,8.0,120,1090.0,0,0,0
205,0.0,0.0,0.0,0,0.0,0.0,0.0,0,756.0,0,0,0
206,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1074.0,0,0,0
207,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1323.0,0,0,0
208,0.0,0.0,0.0,0,773.0,20.542190745109544,10.0,120,798.0,0,0,0
209,0.0,0.0,0.0,0,0.0,0.0,0.0,0,928.0,0,0,0
210,0.0,0.0,0.0,0,0.0,0.0,0.0,0,839.0,0,0,0
211,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1338.0,0,0,0
212,0.0,0.0,0.0,0,0.0,0.0,0.0,0,961.0,0,0,0
213,0.0,0.0,0.0,0,948.0,18.78523699103647,9.0,120,976.0,0,0,0
214,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1171.0,0,0,0
215,0.0,0.0,0.0,0,733.0,15.925376051790124,0.0,120,760.0,0,0,0
216,0.0,0.0,0.0,0,0.0,0.0,0.0,0,814.0,0,0,0
217,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1013.0,0,0,0
218,0.0,0.0,0.0,0,848.0,20.236457813460703,10.0,120,925.0,0,0,0
219,0.0,0.0,0.0,0,0.0,0.0,0.0,0,930.0,0,0,0
220,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1012.0,0,0,0
221,0.0,0.0,0.0,0,730.0,18.37873630232506,0.0,120,766.0,0,0,0
222,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1246.0,0,0,0
223,0.0,0.0,0.0,0,0.0,0.0,0.0,0,900.0,0,0,0
224,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1433.0,0,0,0
225,0.0,0.0,0.0,0,0.0,0.0,0.0,0,714.0,0,0,0
