,t_fcs_ida,E_fcs_ida,delta_rec_ida,carga_ida,t_fcs_vuelta,E_fcs_vuelta,delta_rec_vuelta,carga_vuelta,t_llegada_casa,E_casa,delta_home,Pot_dom
137,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1035.0,0,0,0
138,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1133.0,0,0,0
139,0.0,0.0,0.0,0,1166.0,18.39498842339651,0.15329157019497092,120,1193.0,0,0,0
140,0.0,0.0,0.0,0,0.0,0.0,0.0,0,774.0,0,0,0
141,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1126.0,0,0,0
142,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1320.0,0,0,0
143,0.0,0.0,0.0,0,0.0,0.0,0.0,0,870.0,0,0,0
144,0.0,0.0,0.0,0,1028.0,17.952094466399853,0.14960078721999878,120,1081.0,0,0,0
145,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1303.0,0,0,0
146,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1062.0,0,0,0
147,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1004.0,0,0,0
148,0.0,0.0,0.0,0,0.0,0.0,0.0,0,675.0,0,0,0
149,0.0,0.0,0.0,0,1556.0,17.456666486598884,9.0,120,1598.0,0,0,0
150,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1009.0,0,0,0
151,0.0,0.0,0.0,0,1251.0,16.381812325521228,8.0,120,1279.0,0,0,0
152,0.0,0.0,0.0,0,735.0,22.553641551622928,11.0,120,783.0,0,0,0
153,0.0,0.0,0.0,0,1088.0,19.355753990620254,0.16129794992183547,120,1122.0,0,0,0
154,0.0,0.0,0.0,0,0.0,0.0,0.0,0,760.0,0,0,0
155,0.0,0.0,0.0,0,0.0,0.0,0.0,0,781.0,0,0,0
156,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1007.0,0,0,0
157,0.0,0.0,0.0,0,1113.0,17.186320654830077,9.0,120,1136.0,0,0,0
158,0.0,0.0,0.0,0,0.0,0.0,0.0,0,956.0,0,0,0
159,0.0,0.0,0.0,0,1114.0,19.842953080598562,10.0,120,1147.0,0,0,0
160,0.0,0.0,0.0,0,1081.0,20.546802171041303,10.0,120,1102.0,0,0,0
161,0.0,0.0,0.0,0,879.0,16.611297967639477,0.13842748306366232,120,905.0,0,0,0
162,0.0,0.0,0.0,0,1137.0,21.65698099358737,11.0,120,1156.0,0,0,0
163,0.0,0.0,0.0,0,890.0,15.982827224465778,8.0,120,927.0,0,0,0
164,0.0,0.0,0.0,0,1296.0,22.569621362380662,11.0,120,1332.0,0,0,0
165,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1114.0,0,0,0
166,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1162.0,0,0,0
167,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1157.0,0,0,0
168,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1097.0,0,0,0
169,0.0,0.0,0.0,0,0.0,0.0,0.0,0,961.0,0,0,0
170,0.0,0.0,0.0,0,0.0,0.0,0.0,0,984.0,0,0,0
171,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1502.0,0,0,0
172,0.0,0.0,0.0,0,0.0,0.0,0.0,0,788.0,0,0,0
173,0.0,0.0,0.0,0,593.0,21.744294266318455,11.0,120,616.0,0,0,0
174,0.0,0.0,0.0,0,0.0,0.0,0.0,0,974.0,0,0,0
175,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1438.0,0,0,0
176,0.0,0.0,0.0,0,1335.0,19.21083152904013,10.0,120,1367.0,0,0,0
177,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1173.0,0,0,0
178,0.0,0.0,0.0,0,0.0,0.0,0.0,0,702.0,0,0,0
179,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1264.0,0,0,0
180,0.0,0.0,0.0,0,0.0,0.0,0.0,0,995.0,0,0,0
181,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1186.0,0,0,0
182,1230.0,19.907100236372376,10.0,120,0.0,0.0,0.0,0,1456.0,0,0,0
183,0.0,0.0,0.0,0,781.0,18.51444074156183,9.0,120,812.0,0,0,0
184,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1322.0,0,0,0
185,0.0,0.0,0.0,0,0.0,0.0,0.0,0,683.0,0,0,0
186,0.0,0.0,0.0,0,1417.0,18.479321342632222,0.1539943445219352,120,1478.0,0,0,0
187,0.0,0.0,0.0,0,1003.0,18.19627950844539,9.0,120,1036.0,0,0,0
188,0.0,0.0,0.0,0,0.0,0.0,0.0,0,782.0,0,0,0
189,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1003.0,0,0,0
190,0.0,0.0,0.0,0,935.0,18.25679210129579,9.0,120,973.0,0,0,0
191,0.0,0.0,0.0,0,1149.0,17.543180901350457,9.0,120,1189.0,0,0,0
192,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1245.0,0,0,0
193,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1018.0,0,0,0
194,0.0,0.0,0.0,0,1376.0,18.81906118727524,0.15682550989396032,120,1409.0,0,0,0
195,0.0,0.0,0.0,0,891.0,21.373318880752933,11.0,120,908.0,0,0,0
196,0.0,0.0,0.0,0,0.0,0.0,0.0,0,680.0,0,0,0
197,0.0,0.0,0.0,0,0.0,0.0,0.0,0,793.0,0,0,0
198,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1102.0,0,0,0
199,0.0,0.0,0.0,0,1144.0,19.007095116516428,0.15839245930430357,120,1177.0,0,0,0
200,0.0,0.0,0.0,0,1034.0,20.41452765780405,10.0,120,1063.0,0,0,0
201,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1168.0,0,0,0
202,0.0,0.0,0.0,0,0.0,0.0,0.0,0,940.0,0,0,0
203,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1489.0,0,0,0
204,0.0,0.0,0.0,0,1098.0,20.77353417333503,0.1731127847777919,120,1150.0,0,0,0
205,0.0,0.0,0.0,0,0.0,0.0,0.0,0,972.0,0,0,0
206,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1023.0,0,0,0
207,0.0,0.0,0.0,0,1001.0,19.912915650369236,0.16594096375307696,120,1025.0,0,0,0
208,0.0,0.0,0.0,0,1243.0,18.289833243719706,0.15241527703099755,120,1277.0,0,0,0
209,0.0,0.0,0.0,0,0.0,0.0,0.0,0,731.0,0,0,0
210,0.0,0.0,0.0,0,918.0,20.628939183722483,10.0,120,938.0,0,0,0
211,0.0,0.0,0.0,0,0.0,0.0,0.0,0,728.0,0,0,0
212,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1146.0,0,0,0
213,0.0,0.0,0.0,0,0.0,0.0,0.0,0,978.0,0,0,0
214,0.0,0.0,0.0,0,0.0,0.0,0.0,0,740.0,0,0,0
215,0.0,0.0,0.0,0,1271.0,20.349189747344052,10.0,120,1329.0,0,0,0
216,0.0,0.0,0.0,0,1087.0,19.226675642836504,0.16022229702363752,120,1111.0,0,0,0
217,0.0,0.0,0.0,0,0.0,0.0,0.0,0,932.0,0,0,0
218,0.0,0.0,0.0,0,1071.0,18.285536057954186,0.15237946714961823,120,1092.0,0,0,0
219,0.0,0.0,0.0,0,1462.0,18.812806984845817,0.1567733915403818,120,1493.0,0,0,0
220,0.0,0.0,0.0,0,1318.0,21.688653060540254,11.0,120,1341.0,0,0,0
221,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1320.0,0,0,0
